# time totalContactTime
1174.3000 147949.2000
1175.4000 148087.8000
1176.5000 148226.4000
1177.6000 148365.0000
1178.7000 148503.6000
1179.8000 148642.2000
1180.9000 148780.8000
1182.0000 148919.4000
1183.1000 149058.0000
1184.2000 149196.6000
1185.3000 149335.2000
1186.4000 149473.8000
1187.5000 149612.4000
1188.6000 149751.0000
1189.7000 149889.6000
1190.8000 150028.2000
1191.9000 150166.8000
1193.0000 150305.4000
1194.1000 150444.0000
1195.2000 150582.6000
1196.3000 150721.2000
1197.4000 150859.8000
1198.5000 150998.4000
1199.6000 151137.0000
1200.7000 151275.6000
1201.8000 151414.2000
1202.9000 151552.8000
1204.0000 151691.4000
1205.1000 151830.0000
1206.2000 151968.6000
1207.3000 152107.2000
1208.4000 152245.8000
1209.5000 152384.4000
1210.6000 152523.0000
1211.7000 152661.6000
1212.8000 152800.2000
1213.9000 152938.8000
1215.0000 153077.4000
1216.1000 153216.0000
1217.2000 153354.6000
1218.3000 153493.2000
1219.4000 153631.8000
1220.5000 153770.4000
1221.6000 153909.0000
1222.7000 154047.6000
1223.8000 154186.2000
1224.9000 154324.8000
1226.0000 154463.4000
1227.1000 154602.0000
1228.2000 154740.6000
1229.3000 154879.2000
1230.4000 155017.8000
1231.5000 155156.4000
1232.6000 155295.0000
1233.7000 155433.6000
1234.8000 155572.2000
1235.9000 155710.8000
1237.0000 155849.4000
1238.1000 155988.0000
1239.2000 156126.6000
1240.3000 156265.2000
1241.4000 156403.8000
1242.5000 156542.4000
1243.6000 156681.0000
1244.7000 156819.6000
1245.8000 156958.2000
1246.9000 157096.8000
1248.0000 157235.4000
1249.1000 157374.0000
1250.2000 157512.6000
1251.3000 157651.2000
1252.4000 157789.8000
1253.5000 157928.4000
1254.6000 158067.0000
1255.7000 158205.6000
1256.8000 158344.2000
1257.9000 158482.8000
1259.0000 158621.4000
1260.1000 158760.0000
1261.2000 158898.6000
1262.3000 159037.2000
1263.4000 159175.8000
1264.5000 159314.4000
1265.6000 159453.0000
1266.7000 159591.6000
1267.8000 159730.2000
1268.9000 159868.8000
1270.0000 160007.4000
1271.1000 160146.0000
1272.2000 160284.6000
1273.3000 160423.2000
1274.4000 160561.8000
1275.5000 160700.4000
1276.6000 160839.0000
1277.7000 160977.6000
1278.8000 161116.2000
1279.9000 161254.8000
1281.0000 161393.4000
1282.1000 161532.0000
1283.2000 161670.6000
1284.3000 161809.2000
1285.4000 161947.8000
1286.5000 162086.4000
